Receipt No.,Account,Transaction_Type,Money_In,Money_Out,Balance,DayOfWeekName,Completion Time
Z0P0KKCA77,"Franklin, Hatfield and Wilson",Till No,0.0,450.0,7950.79,Thursday,2024-03-14 15:58:38
IRLCUTES4L,"Smith, Fisher and Cruz",Till No,0.0,260.0,8400.79,Thursday,2024-03-14 15:39:07
O0412P671P,Moran LLC,Till No,0.0,250.0,8660.79,Wednesday,2024-03-13 18:48:55
C2O3EI5U6G,"Hill, Matthews and Martin",Till No,0.0,300.0,8910.79,Wednesday,2024-03-13 13:03:02
T03I6WMKJE,Mpesa Charges,Mpesa Charges,0.0,5.0,9210.79,Wednesday,2024-03-13 13:00:37
4BPY0CDPFE,Yates-Dunn,Pay Bill,0.0,200.0,9215.79,Wednesday,2024-03-13 13:00:37
UX4GQNHETH,"Franklin, Hatfield and Wilson",Till No,0.0,510.0,9415.79,Wednesday,2024-03-13 12:51:00
4N0E5Z6SLE,"Carlson, Hanson and Martin",Till No,0.0,145.0,9925.79,Tuesday,2024-03-12 19:32:12
25CUTPGGDR,"Smith, Mcknight and Brown",Till No,0.0,60.0,10070.79,Tuesday,2024-03-12 19:29:29
8IY5E8655E,Mpesa Charges,Mpesa Charges,0.0,7.0,10170.79,Monday,2024-03-11 19:44:47
MCY5PYM3KB,Mr. Ryan Keith DVM,Send Money,0.0,140.0,10177.79,Monday,2024-03-11 19:44:47
RQBYD1FT32,Lopez LLC,Till No,0.0,330.0,10317.79,Monday,2024-03-11 07:59:07
RI2TATSX74,Gibbs Group,Till No,0.0,270.0,10647.79,Sunday,2024-03-10 19:59:38
ZEF0WHXPWI,"Franklin, Hatfield and Wilson",Till No,0.0,360.0,10917.79,Sunday,2024-03-10 12:29:04
I82A57WBPV,Keith Kelly,Send Money,0.0,80.0,11277.79,Sunday,2024-03-10 11:27:09
TR15651A4Z,Leblanc LLC,Till No,0.0,100.0,11357.79,Sunday,2024-03-10 09:28:23
J65VTH12T6,Bryan Salas,Send Money,0.0,250.0,11464.79,Saturday,2024-03-09 12:31:05
7O4XRQCE5D,Mpesa Charges,Mpesa Charges,0.0,7.0,11714.79,Saturday,2024-03-09 12:24:46
L24AKRC7WJ,Mpesa Charges,Mpesa Charges,0.0,10.0,11921.79,Saturday,2024-03-09 11:59:56
KJF1BD05I1,Washington-Crawford,Pay Bill,0.0,1400.0,11931.79,Saturday,2024-03-09 11:59:56
FK1ASRBDLU,Moreno Group,Bank Transfer,10000.0,0.0,13331.79,Saturday,2024-03-09 11:43:33
IF32K347YG,Philip Roberts,Send Money,0.0,10.0,3331.79,Saturday,2024-03-09 10:37:17
X1Z5XCZSXQ,Baker Group,Till No,0.0,100.0,3341.79,Saturday,2024-03-09 10:26:05
KR69QN3D5U,"Smith, Mcknight and Brown",Till No,0.0,70.0,3441.79,Friday,2024-03-08 20:01:20
6G7QDYRBAL,Michael Sanchez,Send Money,0.0,100.0,3511.79,Friday,2024-03-08 19:58:48
XUW102SLPK,"Smith, Mcknight and Brown",Till No,0.0,35.0,3611.79,Thursday,2024-03-07 20:15:38
QW089EPY9A,Mpesa Charges,Mpesa Charges,0.0,7.0,3646.79,Thursday,2024-03-07 20:13:04
QIED5F9EIF,Alicia Chapman,Send Money,0.0,150.0,3653.79,Thursday,2024-03-07 20:13:04
Q5OD70U5HM,Alicia Chapman,Send Money,0.0,50.0,5256.79,Wednesday,2024-03-06 18:58:46
1ZFNAYCIGR,Mpesa Charges,Mpesa Charges,0.0,10.0,5306.79,Wednesday,2024-03-06 08:35:53
0ZP9SG1HI5,White-Fowler,Pay Bill,0.0,700.0,5316.79,Wednesday,2024-03-06 08:35:53
VOLS1NOU0X,Mpesa Charges,Mpesa Charges,0.0,10.0,6016.79,Wednesday,2024-03-06 08:35:29
VK4H49A68K,"Smith, Mcknight and Brown",Till No,0.0,20.0,6826.79,Tuesday,2024-03-05 18:12:11
WRG6DMWYSA,Benjamin Villanueva,Send Money,0.0,50.0,6846.79,Tuesday,2024-03-05 18:09:23
B0NQ53973A,Mpesa Charges,Mpesa Charges,0.0,7.0,6896.79,Tuesday,2024-03-05 18:08:08
5UHD64KOS9,John Roberson,Send Money,0.0,150.0,6903.79,Tuesday,2024-03-05 18:08:08
CLUWL6QZEX,Joseph Perez,Send Money,0.0,850.0,10065.79,Monday,2024-03-04 20:24:43
BNNTB8HU92,Dorothy Price,Send Money,0.0,850.0,10065.79,Monday,2024-03-04 20:24:43
0OJRMVLSQH,"Hill, Matthews and Martin",Till No,0.0,300.0,10915.79,Monday,2024-03-04 18:59:21
RZAXQ8M17L,Other,Other,0.0,1000.0,11215.79,Monday,2024-03-04 18:35:45
49TQZ4PXVC,Mpesa Charges,Mpesa Charges,0.0,7.0,12215.79,Monday,2024-03-04 18:27:01
PN44YMNWZI,John Roberson,Send Money,0.0,140.0,12222.79,Monday,2024-03-04 18:27:01
HR92ABLV89,Smith-Lane,Till No,0.0,200.0,12362.79,Monday,2024-03-04 18:22:54
WUJUAWT1WL,Miller-Gallagher,Till No,0.0,3000.0,1238.86,Sunday,2024-03-03 18:02:20
1VD2KPH7CZ,Mpesa Charges,Mpesa Charges,0.0,10.0,4238.86,Sunday,2024-03-03 10:05:04
3N7SC3R7UV,Marshall-Gibson,Pay Bill,0.0,978.0,4248.86,Sunday,2024-03-03 10:05:04
K2UBEWBVBP,Wallace PLC,Till No,0.0,7270.0,5276.84,Sunday,2024-03-03 07:31:27
EQYRQBLLW2,Jennifer Moreno,Send Money,0.0,50.0,12546.84,Saturday,2024-03-02 22:03:38
I688O2NOKI,Mark Dickson,Send Money,0.0,50.0,13751.84,Saturday,2024-03-02 21:38:50
LRVXBLO7VS,Mpesa Charges,Mpesa Charges,0.0,83.0,13801.84,Saturday,2024-03-02 21:11:09
1VEHFDS7V6,"Caldwell, King and Taylor",Pay Bill,0.0,31500.0,13884.84,Saturday,2024-03-02 21:11:09
J7BKY1CMIQ,Turner Inc,Bank Transfer,45000.0,0.0,45384.84,Saturday,2024-03-02 21:09:41
TF07FCIUM3,Shwari Loan Repayment,MShwari Loan,0.0,3270.0,504.84,Saturday,2024-03-02 17:58:05
4QHK091RQB,"Smith, Mcknight and Brown",Till No,0.0,90.0,3774.84,Friday,2024-03-01 20:20:08
IKFUOQNDZ2,Mpesa Charges,Mpesa Charges,0.0,5.0,3864.84,Thursday,2024-02-29 19:43:24
8WIGGZ9CWK,White-Fowler,Pay Bill,0.0,500.0,3869.84,Thursday,2024-02-29 19:43:24
USAJUC91KU,Alicia Chapman,Send Money,0.0,50.0,4369.84,Thursday,2024-02-29 18:27:07
LAQP7VHKWN,Smith-Lane,Till No,0.0,200.0,4419.84,Thursday,2024-02-29 18:24:16
BJE7ZMGAJA,"Franklin, Hatfield and Wilson",Till No,0.0,310.0,4619.84,Thursday,2024-02-29 18:15:45
XIUHIC9MW6,Mpesa Charges,Mpesa Charges,0.0,33.0,4929.84,Wednesday,2024-02-28 20:52:53
QPJA0V5H5M,Brian Nguyen,Send Money,0.0,1530.0,4962.84,Wednesday,2024-02-28 20:52:53
ZO12VE1DCG,"Carlson, Hanson and Martin",Till No,0.0,200.0,6492.84,Wednesday,2024-02-28 20:42:22
WPTW2WOPXP,Mpesa Charges,Mpesa Charges,0.0,7.0,6692.84,Wednesday,2024-02-28 19:59:38
BF48L7FW87,Chad Bradley,Send Money,0.0,350.0,6699.84,Wednesday,2024-02-28 19:59:38
FNW03PVFG4,Joseph Perez,Receive Money,2500.0,0.0,7049.84,Wednesday,2024-02-28 15:50:28
6ZWKFWKF6V,Dorothy Price,Receive Money,2500.0,0.0,7049.84,Wednesday,2024-02-28 15:50:28
H0AGOVBZUL,"Franklin, Hatfield and Wilson",Till No,0.0,400.0,4549.84,Wednesday,2024-02-28 14:03:56
6T7LCH6YM9, M-PESA Overdraw,Fuliza Loan Repayment,0.0,50.16,4949.84,Wednesday,2024-02-28 13:50:59
LC6OSXCP0K,Parker-Avila,Bank Transfer,5000.0,0.0,5000.0,Wednesday,2024-02-28 13:50:58
JB6X7B5PLW,"Lee, Greer and Mccullough",Till No,0.0,369.0,0.0,Tuesday,2024-02-27 16:36:09
AG56DKVPRC,Fuliza Loan,Fuliza Loan,49.66,0.0,369.0,Tuesday,2024-02-27 16:36:09
T0SDPZPZ07,Mpesa Charges,Mpesa Charges,0.0,33.0,319.34,Tuesday,2024-02-27 13:16:42
MHF2YEQQCJ,Jesse Thompson,Send Money,0.0,2035.0,352.34,Tuesday,2024-02-27 13:16:42
5ENFOXJMD6,Shwari Withdraw,Mshwari Withdraw,700.0,0.0,2387.34,Tuesday,2024-02-27 13:14:57
28ISBC28HO,Mpesa Charges,Mpesa Charges,0.0,33.0,1687.34,Sunday,2024-02-25 13:46:45
LHZB60CM4N,Joseph Perez,Send Money,0.0,2000.0,1720.34,Sunday,2024-02-25 13:46:45
NOSM0P3EXR,Dorothy Price,Send Money,0.0,2000.0,1720.34,Sunday,2024-02-25 13:46:45
KJ3Y8UD46S,Wells-Day,Till No,0.0,200.0,3720.34,Saturday,2024-02-24 21:12:04
I3Z3UJ2X0W,Mpesa Charges,Mpesa Charges,0.0,34.0,3920.34,Saturday,2024-02-24 20:33:46
DK4MBSJ3VS,Williams and Sons,Pay Bill,0.0,4516.0,3954.34,Saturday,2024-02-24 20:33:46
INK6CECB46,Mpesa Charges,Mpesa Charges,0.0,7.0,8470.34,Saturday,2024-02-24 20:19:27
3PW71NYVJW,Michael Sanchez,Send Money,0.0,140.0,8477.34,Saturday,2024-02-24 20:19:27
2ER32SF4Y0,Kim LLC,Bank Transfer,5000.0,0.0,8617.34,Saturday,2024-02-24 20:13:56
AWAC0XHJGM,"Hill, Matthews and Martin",Till No,0.0,300.0,3617.34,Saturday,2024-02-24 15:49:59
VV2PJ1ZG4H,Mpesa Charges,Mpesa Charges,0.0,33.0,3917.34,Friday,2024-02-23 23:24:45
2WEFX4JKE8,Joseph Perez,Send Money,0.0,1550.0,3950.34,Friday,2024-02-23 23:24:45
Z71Z6SWPHR,Dorothy Price,Send Money,0.0,1550.0,3950.34,Friday,2024-02-23 23:24:45
OVY7A1AV2W,Vargas-Skinner,Bank Transfer,5000.0,0.0,5500.34,Friday,2024-02-23 23:24:26
LQZNVS36Z6,"Smith, Mcknight and Brown",Till No,0.0,90.0,500.34,Friday,2024-02-23 19:25:35
46E4ZYHO3Z,Mpesa Charges,Mpesa Charges,0.0,7.0,590.34,Friday,2024-02-23 19:22:38
EFJT1E247T,Michael Sanchez,Send Money,0.0,145.0,597.34,Friday,2024-02-23 19:22:38
OIVVTUKBD0,Norris-Watts,Till No,0.0,550.0,742.34,Friday,2024-02-23 19:15:10
EOKN2XIQC9,Chloe Smith,Send Money,0.0,50.0,1292.34,Friday,2024-02-23 13:54:55
11NG3GVRMW,Mpesa Charges,Mpesa Charges,0.0,27.5,1342.34,Friday,2024-02-23 13:51:55
19TLE617KE,Wallace PLC,Till No,0.0,5000.0,1369.84,Friday,2024-02-23 13:51:55
59ZOLLIES4,Mpesa Charges,Mpesa Charges,0.0,7.0,9504.84,Friday,2024-02-23 12:00:04
2MYZV96W9I,David Lewis,Send Money,0.0,150.0,9511.84,Friday,2024-02-23 12:00:04
U8WWIUCOVG,Miller-Torres,Till No,0.0,40.0,9661.84,Friday,2024-02-23 11:14:03
I8CPORJZ3A,Mpesa Charges,Mpesa Charges,0.0,33.0,9701.84,Friday,2024-02-23 10:52:10
6UNPY7PAHG,Gabriel Singleton,Send Money,0.0,1600.0,9734.84,Friday,2024-02-23 10:52:10
S6CMSLBD1R,"Pratt, Brown and Wilson",Bank Transfer,10000.0,0.0,11334.84,Friday,2024-02-23 10:48:35
0XP2G3GYPJ,Travis Escobar,Send Money,0.0,65.0,1334.84,Friday,2024-02-23 08:27:06
QP2BU9ZSP0,Madison Pugh,Send Money,0.0,100.0,1399.84,Thursday,2024-02-22 21:17:16
WBFMNK54LA,Lopez LLC,Till No,0.0,640.0,1499.84,Thursday,2024-02-22 21:13:12
KGXDPAXYUK,Lopez LLC,Till No,0.0,300.0,2139.84,Thursday,2024-02-22 14:37:20
63JLEQQKE7,Mpesa Charges,Mpesa Charges,0.0,7.0,2439.84,Wednesday,2024-02-21 19:11:12
XDTAIAGULY,"Franklin, Hatfield and Wilson",Till No,0.0,120.0,2566.84,Wednesday,2024-02-21 19:02:23
F946VWXG9S,Mpesa Charges,Mpesa Charges,0.0,53.0,2686.84,Tuesday,2024-02-20 22:21:17
2EOL68WBLZ,Richard Melendez,Send Money,0.0,3000.0,2739.84,Tuesday,2024-02-20 22:21:17
L22GG3F9K1,Boyer and Sons,Bank Transfer,5000.0,0.0,5739.84,Tuesday,2024-02-20 22:20:15
IBR6RG7W3D,Michael Sanchez,Send Money,0.0,30.0,739.84,Tuesday,2024-02-20 19:45:27
CGN2XSU5XA,"Perry, Leach and Mata",Till No,0.0,615.0,769.84,Tuesday,2024-02-20 19:17:04
DAF997HPE0,Mpesa Charges,Mpesa Charges,0.0,13.0,1384.84,Tuesday,2024-02-20 12:23:57
IGI7V85LE7,Angela Meyer,Send Money,0.0,776.0,1397.84,Tuesday,2024-02-20 12:23:57
YZ0JQ32PSW,Joseph Perez,Receive Money,780.0,0.0,2173.84,Tuesday,2024-02-20 12:20:03
BURCUB75MS,Dorothy Price,Receive Money,780.0,0.0,2173.84,Tuesday,2024-02-20 12:20:03
CJS0SEIET7,Travis Escobar,Send Money,0.0,65.0,1393.84,Tuesday,2024-02-20 10:08:06
LBEDA85P92,Mpesa Charges,Mpesa Charges,0.0,7.0,1458.84,Monday,2024-02-19 19:32:35
A7ON3IRCM3,Michael Sanchez,Send Money,0.0,160.0,1465.84,Monday,2024-02-19 19:32:35
NFWDSCSX5W,Mpesa Charges,Mpesa Charges,0.0,13.0,1625.84,Sunday,2024-02-18 20:12:26
Q97OH9PUQV,Mpesa Charges,Mpesa Charges,0.0,7.0,2638.84,Sunday,2024-02-18 19:45:55
WGL0B1RY7E,Erin Washington,Send Money,0.0,110.0,2645.84,Sunday,2024-02-18 19:45:55
4XBOCTV8TB,Newman Inc,Pay Bill,0.0,100.0,2755.84,Sunday,2024-02-18 17:01:17
YNOFQ1LPF8,Mpesa Charges,Mpesa Charges,0.0,78.0,2855.84,Sunday,2024-02-18 12:46:50
YF0RRAO1R8,Stephanie Butler,Send Money,0.0,6200.0,2933.84,Sunday,2024-02-18 12:46:50
M8D5MRTAAU,Stacey Fletcher,Receive Money,7000.0,0.0,9133.84,Sunday,2024-02-18 12:44:33
YJ9W1Y8CDW,Mpesa Charges,Mpesa Charges,0.0,5.0,2133.84,Saturday,2024-02-17 19:30:47
6JKBU2GTA4,Newman Inc,Pay Bill,0.0,160.0,2138.84,Saturday,2024-02-17 19:30:47
LSEXQ4UC5Z,"Smith, Mcknight and Brown",Till No,0.0,30.0,2298.84,Saturday,2024-02-17 19:29:14
0TKI87JZBZ,Benjamin Villanueva,Send Money,0.0,30.0,2328.84,Saturday,2024-02-17 17:40:11
HUD4JCUPYJ,Mpesa Charges,Mpesa Charges,0.0,7.0,2358.84,Saturday,2024-02-17 02:31:29
EBHJL5UWMM,Hector Kramer,Send Money,0.0,450.0,2365.84,Saturday,2024-02-17 02:31:29
X5GUJS3FNW,Theresa Kelly,Send Money,0.0,450.0,2365.84,Saturday,2024-02-17 02:31:29
ZXL8L827IQ,Mpesa Charges,Mpesa Charges,0.0,7.0,2815.84,Friday,2024-02-16 21:17:30
N92KY0T3HV,Michael Suarez,Send Money,0.0,500.0,2822.84,Friday,2024-02-16 21:17:30
SO4SBMPOMI,Derrick Fischer,Send Money,0.0,500.0,2822.84,Friday,2024-02-16 21:17:30
3IHNBZL32G,April Bennett,Pochi,0.0,30.0,3322.84,Friday,2024-02-16 17:44:40
MGYYW4S38V,Mpesa Charges,Mpesa Charges,0.0,23.0,3352.84,Friday,2024-02-16 16:04:09
Q9NBX0RBCV,Adam Burns,Send Money,0.0,1500.0,3375.84,Friday,2024-02-16 16:04:09
LQVSPOC6BC,Mpesa Charges,Mpesa Charges,0.0,21.07,4875.84,Friday,2024-02-16 13:19:03
1PB0H7KOP0,Wallace PLC,Till No,0.0,3831.0,4896.91,Friday,2024-02-16 13:19:03
01GA5GQHWC,Shwari Loan Request,MShwari Loan,0.0,0.0,8727.91,Friday,2024-02-16 12:52:32
ZX6HKPWLUF,Shwari Loan Disburse,MShwari Loan,3000.0,0.0,8727.91,Friday,2024-02-16 12:52:32
2EZLKA0OIY,Mpesa Charges,Mpesa Charges,0.0,53.0,727.91,Friday,2024-02-16 10:46:47
8A3BEIL42I,Adam Burns,Send Money,0.0,3000.0,780.91,Friday,2024-02-16 10:46:47
SM1VTG8M49,Mpesa Charges,Mpesa Charges,0.0,13.0,3780.91,Friday,2024-02-16 10:28:16
DRYTYAW0I0,Vincent Tapia,Send Money,0.0,870.0,3793.91,Friday,2024-02-16 10:28:16
6DY0MG115Z,Buck Group,Till No,0.0,335.0,4663.91,Thursday,2024-02-15 14:55:36
Z74Z5LLUSJ, M-PESA Overdraw,Fuliza Loan Repayment,0.0,1.09,4998.91,Thursday,2024-02-15 14:53:42
IL6TOHHA6B,Wheeler-Simmons,Bank Transfer,5000.0,0.0,5000.0,Thursday,2024-02-15 14:53:42
YSPKC19JTZ,Mpesa Charges,Mpesa Charges,0.0,13.0,0.0,Wednesday,2024-02-14 19:55:37
6Z1H9YTSR2,Regina Miller DDS,Send Money,0.0,810.0,13.0,Wednesday,2024-02-14 19:55:37
3E84Y6WI1E,Fuliza Loan,Fuliza Loan,1.07,0.0,823.0,Wednesday,2024-02-14 19:55:37
W3IB1Z8EV9,Manning-Khan,Till No,0.0,2850.0,821.93,Wednesday,2024-02-14 16:24:32
FDM8YVAMY1,"Hill, Matthews and Martin",Till No,0.0,300.0,3671.93,Wednesday,2024-02-14 10:22:56
NCSMVHK7JZ,"Brown, Garcia and Wong",Till No,0.0,5550.0,3971.93,Tuesday,2024-02-13 11:13:25
QNY8ANNZMP,Daniels LLC,Bank Transfer,5000.0,0.0,9521.93,Tuesday,2024-02-13 11:12:44
5QE3O8DLW7,Moran LLC,Till No,0.0,300.0,4521.93,Monday,2024-02-12 19:17:52
ZVKNPV7TXL,Edwards and Sons,Pay Bill,0.0,64.0,4821.93,Monday,2024-02-12 09:33:26
WDF1SQ2VU9,Miller-Gallagher,Till No,0.0,1350.0,4885.93,Sunday,2024-02-11 19:33:14
YWG55622Q3,Williams LLC,Till No,0.0,140.0,1235.93,Sunday,2024-02-11 16:50:36
ZXJNAVMB7J,Mpesa Charges,Mpesa Charges,0.0,26.6,1375.93,Saturday,2024-02-10 17:37:11
DDXBCBFHWB,Crawford Ltd,Till No,0.0,4838.0,1402.53,Saturday,2024-02-10 17:37:11
N9DJKJ4SW0,Mpesa Charges,Mpesa Charges,0.0,7.0,6240.53,Saturday,2024-02-10 17:30:15
GMMT0NN8KX,Christopher Castillo,Send Money,0.0,200.0,6247.53,Saturday,2024-02-10 17:30:15
3G4DI7Y7JR,"Jackson, Gutierrez and Bruce",Till No,0.0,190.0,7897.53,Friday,2024-02-09 17:15:10
WI8V5V7PNM,"Jackson, Gutierrez and Bruce",Till No,0.0,2878.0,8087.53,Friday,2024-02-09 17:13:51
WFY1KIWBK9,Gutierrez Inc,Bank Transfer,10000.0,0.0,10965.53,Friday,2024-02-09 17:03:44
IX0WUWPZ5V,Douglas Simon,Send Money,0.0,50.0,965.53,Friday,2024-02-09 16:52:50
AQB6A5DI0Q,Jordan-Roberson,Till No,0.0,663.0,1015.53,Friday,2024-02-09 10:39:14
V8VEI8PRCN,Jordan-Roberson,Till No,0.0,2568.0,1678.53,Friday,2024-02-09 10:36:16
YZV1QNRB7X,Mpesa Charges,Mpesa Charges,0.0,48.0,4246.53,Thursday,2024-02-08 21:16:04
A6Z687409M,Yates-Dunn,Pay Bill,0.0,9500.0,4294.53,Thursday,2024-02-08 21:16:04
FTK1X4XCPL,"Smith, Mcknight and Brown",Till No,0.0,40.0,13794.53,Thursday,2024-02-08 19:28:03
Z2B0NKLM5T,Michael Sanchez,Send Money,0.0,60.0,13834.53,Thursday,2024-02-08 19:24:51
XRHT2ZZK89,Moran LLC,Till No,0.0,250.0,13894.53,Thursday,2024-02-08 19:13:54
8IQTSS9KLH,Mpesa Charges,Mpesa Charges,0.0,57.0,14144.53,Thursday,2024-02-08 16:20:05
93Y68J492A,Roy Brown,Send Money,0.0,5000.0,14201.53,Thursday,2024-02-08 16:20:05
F2HNJPQW3J,Rebecca Hicks,Send Money,0.0,5000.0,14201.53,Thursday,2024-02-08 16:20:05
DZ5MN5NEW2,Mpesa Charges,Mpesa Charges,0.0,23.0,19201.53,Thursday,2024-02-08 16:10:37
GNB0YDJM7O,Deborah Terry,Send Money,0.0,1280.0,19224.53,Thursday,2024-02-08 16:10:37
4AHNWBV0N7,Diaz and Sons,Bank Transfer,20000.0,0.0,20504.53,Thursday,2024-02-08 16:08:22
Q2DP5K5Z7P,Mpesa Charges,Mpesa Charges,0.0,33.0,504.53,Wednesday,2024-02-07 14:47:53
P33LNB2NE8,Robert Cruz,Send Money,0.0,1995.0,537.53,Wednesday,2024-02-07 14:47:53
U34O4J3D57,"Carlson, Hanson and Martin",Till No,0.0,200.0,2532.53,Wednesday,2024-02-07 14:22:33
78Y1V51UN4,Shwari Withdraw,Mshwari Withdraw,1000.0,0.0,2732.53,Wednesday,2024-02-07 13:36:57
DX0OAJ4QDE,Shwari Loan Repayment From Savings,MShwari Loan,0.0,0.0,1732.53,Wednesday,2024-02-07 13:36:33
IK9HE7X1KJ,Mpesa Charges,Mpesa Charges,0.0,23.0,1732.53,Tuesday,2024-02-06 19:45:34
AXXN6WRR04,Javier Weaver,Send Money,0.0,1200.0,1755.53,Tuesday,2024-02-06 19:45:34
8F8I7T84DZ,Mpesa Charges,Mpesa Charges,0.0,33.0,2955.53,Tuesday,2024-02-06 13:05:56
Z1ANB90QFW,Payne and Sons,Till No,0.0,155.0,4978.53,Tuesday,2024-02-06 08:21:09
F5GC13EWSL,Lopez LLC,Till No,0.0,940.0,5133.53,Monday,2024-02-05 15:36:02
03YXJ42TH8,Mcmillan-Harmon,Bank Transfer,5000.0,0.0,6073.53,Monday,2024-02-05 15:00:15
46PE8LE678,Other,Other,0.0,1000.0,1073.53,Monday,2024-02-05 10:20:27
DL47Z2HL43,Mpesa Charges,Mpesa Charges,0.0,5.0,2073.53,Monday,2024-02-05 10:17:16
PBKCAW891T,White-Fowler,Pay Bill,0.0,500.0,2078.53,Monday,2024-02-05 10:17:16
77ANENEUVK,Mpesa Charges,Mpesa Charges,0.0,10.0,2578.53,Monday,2024-02-05 10:16:24
JL5LLKC9W7,White-Fowler,Pay Bill,0.0,700.0,2588.53,Monday,2024-02-05 10:16:24
M21SWDWIIJ,Mpesa Charges,Mpesa Charges,0.0,10.0,3288.53,Monday,2024-02-05 10:14:23
TKM01H3XWJ,White-Fowler,Pay Bill,0.0,800.0,3298.53,Monday,2024-02-05 10:14:23
TX2SDF5J2K,Mpesa Charges,Mpesa Charges,0.0,83.0,4098.53,Monday,2024-02-05 10:13:57
NR7FY9FN39,"Caldwell, King and Taylor",Pay Bill,0.0,31100.0,4181.53,Monday,2024-02-05 10:13:57
1TIPV2Y7TG,"Keith, Phillips and Singleton",Pay Bill,0.0,2999.0,35281.53,Monday,2024-02-05 08:46:06
TFZA9U6QX8,"Smith, Mcknight and Brown",Till No,0.0,45.0,38280.53,Sunday,2024-02-04 20:03:00
U2GGJZKTF4,Mpesa Charges,Mpesa Charges,0.0,7.0,38325.53,Sunday,2024-02-04 20:00:20
0BIIIC7IB7,Mpesa Charges,Mpesa Charges,0.0,33.0,38657.53,Saturday,2024-02-03 19:37:00
XP6SFZOGHC,Jeremy Kennedy,Send Money,0.0,2000.0,38690.53,Saturday,2024-02-03 19:37:00
IY7M66BJBJ,Mpesa Charges,Mpesa Charges,0.0,33.0,40690.53,Saturday,2024-02-03 14:06:10
QXPA0OX0OL,Joshua Cabrera,Send Money,0.0,2000.0,40723.53,Saturday,2024-02-03 14:06:10
K8Y8H56EV0,Stephanie Briggs,Send Money,0.0,100.0,42723.53,Saturday,2024-02-03 12:30:53
NUVN9T7QKN,"Carlson, Hanson and Martin",Till No,0.0,50.0,42823.53,Saturday,2024-02-03 12:29:42
VR5F6T942D,Mpesa Charges,Mpesa Charges,0.0,7.0,42873.53,Saturday,2024-02-03 11:24:53
1BG31GKXIU,Jason Lindsey,Send Money,0.0,360.0,42880.53,Saturday,2024-02-03 11:24:53
DWHOK38UYP,"Smith, Mcknight and Brown",Till No,0.0,90.0,43480.53,Friday,2024-02-02 20:16:21
J19G3E1B3L,"Perry, Leach and Mata",Till No,0.0,600.0,43570.53,Friday,2024-02-02 19:53:06
IOBMRT4LL1,Mpesa Charges,Mpesa Charges,0.0,13.0,44170.53,Friday,2024-02-02 19:51:18
ULCWLZCDZ6,David Allison,Send Money,0.0,1000.0,44183.53,Friday,2024-02-02 19:51:18
M6K7BHMKZZ,Chambers-Campbell,Bank Transfer,45000.0,0.0,45183.53,Friday,2024-02-02 19:50:51
DESD44V8DL,Hernandez LLC,Till No,0.0,1000.0,183.53,Friday,2024-02-02 19:32:27
5QZ04ZBE5F,Brown-Anderson,Till No,0.0,190.0,1183.53,Thursday,2024-02-01 19:11:27
E5U5ZFADJR,Mpesa Charges,Mpesa Charges,0.0,33.0,1373.53,Thursday,2024-02-01 19:03:39
FH0MNQ5P58,Brian Nguyen,Send Money,0.0,1995.0,1406.53,Thursday,2024-02-01 19:03:39
